Caption,Comments,ClickThroughRate,Follower,Impressions,Like,MediaType,MediaURL,ProfileViews,PublishedAt,Reach,ReachtoFollowerRatio,Saved,VideoViews,Website
Ah no?!,29,4.26,127387,15148,361,IMAGE,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/448397290_869694788302652_2683243136776754994_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=18de74&_nc_ohc=swYCwqEuNukQ7kNvgEQj_Gw&_nc_ht=scontent-fco2-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYAb1juQh9m4QzU5zISfvGHOQKOj5zj-6biAmwK5ER-pcA&oe=6678C87E,47,2024-06-17T13:13:50.000Z,14996,11.77,8,0,2
"👨🏻‍🎨 E dopo la Venere di Botticelli anche la Monna Lisa di Leonardo sbarca sui social come travel influencer 

Stavolta però si tratta di un progetto di @visititaly e Monna Lisa non si limita a mostrare le bellezze italiane: lei è una travel planner a tutti gli effetti!

Tra i commenti però c’è ancora un po’ di scetticismo: vedremo se riuscirà a conquistare la simpatia dei turisti o se dovrà tornare al Louvre 

E ora via al totò: quale sarà la prossima opera d’arte a vestire i panni dell’influencer?

Speriamo non il David, altrimenti viene bannato in 3,2,1…",12,4.65,127390,19053,482,CAROUSEL_ALBUM,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/448122503_442689971882594_7397491438674814018_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=18de74&_nc_ohc=xEvvh3rMiwQQ7kNvgGzQH3q&_nc_ht=scontent-fco2-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYCrbRPga6u1sc82tjtwbf3Wepf8_jzA3PVMnHn-xQ7Y2g&oe=6678AD3F,43,2024-06-14T14:17:10.000Z,16034,12.59,54,3121,2
"Come va con il nuovo algoritmo di Instagram?
Peace ✌🏼",135,4.92,127253,24640,1152,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/CA4E623007B5690C35B53F8BB4379EBF_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=105&vs=434614462682841_3799802920&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9DQTRFNjIzMDA3QjU2OTBDMzVCNTNGOEJCNDM3OUVCRl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dJeGV0eHJUaG9odnZ4WUVBQnNXbzhLcUtJOENicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJqDB5sD3ysM%2FFQIoAkMzLBdARSU%2FfO2RaBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYCE4SShR4ozjfcLVQBfC1e6QOzyr02mwL-uVTBo3EDY-A&oe=6674ABD9&_nc_sid=1d576d,853,2024-06-11T13:34:35.000Z,21517,16.91,54,12616,42
"❗ Aggiornamento Meta: ora i post generati con AI verranno segnalati da un’etichetta

Mentre l’uso dell’AI per parlare di temi politici aumenta sempre di più, e di conseguenza le riflessioni sui risvolti di questo trend, Meta trova un modo per segnalare l’uso dell’intelligenza artificiale nei post 

È un buon inizio per rendere consapevoli le persone, soprattutto quelle meno abituate alla tecnologia, dell’uso dell’intelligenza artificiale…ma sarà sufficiente a contenere i rischi?",26,1.82,126958,17759,534,CAROUSEL_ALBUM,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/447767447_847545577187953_4261873776694388893_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=18de74&_nc_ohc=VbYiRp_xsosQ7kNvgHJX2Hj&_nc_ht=scontent-fco2-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYDLtaDlI08AVz3QkgYjO_qa3cq8YiGLtjGgYBKrxrUyYg&oe=6678C0EA,55,2024-06-07T12:17:27.000Z,14633,11.53,36,0,1
"⛔ Instagram censura i post politici?

Non esattamente, ma ha deciso di limitarne la diffusione cambiando le impostazioni degli account…

Senza però comunicarlo direttamente!

👉🏻 Nel post ti spieghiamo tutto e ti diciamo anche come tornare a vedere i post che parlano di politica e di temi sociali 

Sei pro o contro questa decisione?",21,7.09,126958,9886,330,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/AC424904F52373A6CDE52D468B5E7984_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=100&vs=1039142917634298_4026027059&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9BQzQyNDkwNEY1MjM3M0E2Q0RFNTJENDY4QjVFNzk4NF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dEWlhzQnIxeGs5ODRva0hBTWtPOWpPMjdrWlRicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJoTgqvDa8fo%2FFQIoAkMzLBdAUDMzMzMzMxgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYC98HuVpDoSp4bqRNEMrYWlNaBIJhuzFc0zvp0JMEWLBQ&oe=6674AD64&_nc_sid=1d576d,409,2024-06-06T15:15:59.000Z,8592,6.77,35,4568,29
"🤫 Cosa ci nasconde Instagram?

Un paio di giorni fa l’account ufficiale Creators ha pubblicato e un post che spiegava quali sono le cose che abbassano la copertura dei post…

Peccato che quel post sia stato eliminato dopo un paio d’ore!

Fortunatamente riusciti a recuperarlo e in questo video te lo riassumiamo (non c’è di che 🫶🏻), ma il dubbio sul perché sia stato eliminato ci rimane

Comunque la CTA di questo post la trovi nel video 😎

PS: stiamo pensando di approfondire il punto 1…mandaci un piccione viaggiatore per farci capire se ti interessa 👀",155,4.42,126906,23202,1101,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/D8498644D369AE16CABDBA358D0416AB_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=107&vs=446671671396185_1442727665&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9EODQ5ODY0NEQzNjlBRTE2Q0FCREJBMzU4RDA0MTZBQl92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dNWENyUm9pc1UycGdHZ0RBQmw4aHg3QXFxTUdicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJtLyg4ySvPk%2FFQIoAkMzLBdAVkKfvnbItBgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYBOjxaf8GWtNWh9VMuMivnk2tUr362uE_x85l3AxQxuQg&oe=6674E23D&_nc_sid=1d576d,633,2024-06-04T11:19:03.000Z,20617,16.25,384,9530,28
"🔥 Mai sottovalutare il potere delle caption!

Avrai già visto un milione di questi reel: video aesthetic di sfondo, con un gancio che cattura l’attenzione e che rimanda alla caption per le spiegazioni

I grandissimi vantaggi di questo format sono la facilità di realizzazione, la capacità di catturare l’attenzione delle persone e aumentare il tempo di permanenza sul contenuto…

Ma per far funzionare questi reel non basta scrivere “Leggi la caption”, c’è anche bisogno che sia scritta bene!

E allora ecco qualche consiglio per scrivere una caption che funziona:

◾ Gancio: è l’elemento principale, quello che invoglia le persone a continuare a leggere. Scegli un titolo impattante, che chiarisca da subito di cosa parlerai

◾ Dividi i paragrafi: sembra scontato ma i wall of text sono ancora troppi!
Dividi il testo in parafrasi di massimo 4-5 righe per non spaventare gli utenti, e aggiungi delle emoticon (ricorda, sono emoticon, non prezzemolo)

◾ Fai elenchi (se l’argomento lo permette): noi umani amiamo gli elenchi!

◾ Poche informazioni, ma essenziali: non dilungarti troppo dando mille informazioni, piuttosto crea più contenuti. 

◾ CTA: importante quasi quanto il gancio, qui si apre un mondo! Scegli la CTA in base allo scopo e cerca di non cadere nel banale “salva il post”. 

Non devi metterla per forza alla fine, anzi a volte è utile chiedere di compiere un’azione all’inizio o a metà della caption. Come per i caroselli

⚡Pro tip: se vuoi sapere se le tue caption funzionano o cosa devi migliorare, abbiamo quello che fa per te!

Sulla nostra piattaforma, tra le varie analisi, c’è anche quella delle caption: trovi tutti i consigli per capire come ottimizzare le tue caption in base all’obiettivo e un’analisi dettagliata di cosa funziona e cosa no! 👉 @notjustanalytics",4,7.1,126538,5699,119,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/C5489A8B767D5247BD1F42B43AB956A5_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=102&vs=373085159079264_507584165&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9DNTQ4OUE4Qjc2N0Q1MjQ3QkQxRjQyQjQzQUI5NTZBNV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dLb1pwUnE5aGFEQ1FGNEZBS2Rkai1YTFVVVXdicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJpiplqulos5AFQIoAkMzLBdAEAAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYDIiVAB0EzfOhkBMrgOPadRETscIfz941pjghovmY0cpg&oe=6674C5CB&_nc_sid=1d576d,479,2024-06-03T16:05:20.000Z,4991,3.94,54,2174,34
"Giugno è alle porte e questo significa solo una cosa: il nuovo algoritmo di Instagram sta ufficialmente entrando in azione 🚀

Allora facciamo un breve recap per chi non si ricorda esattamente quali saranno le differenze:

🔸 Vecchio algoritmo: quando pubblichi un post, Instagram lo mostra alle persone che già ti seguono.
Se poi queste persone interagiscono, il video verrà mostrato anche alle persone che non ti seguono (ovviamente questo succede se il tuo profilo è nella fase positiva dell’algoritmo e se non hai blocchi o restrizioni)

🔹 Nuovo algoritmo: ogni post che pubblichi verrà mostrato a un gruppo di persone composto sia da follower che da persone che non ti seguono ma che secondo Instagram potrebbero apprezzare il tuo contenuto.
Se questo gruppo mostra interesse e interagisce con il tuo post, Instagram lo mostra ad un pubblico più ampio (anche in questo caso, lo stato del tuo profilo influenza il processo)

Oltre a questi cambiamenti devi anche fare attenzione ai repost!

⚠️ Infatti ora verranno premiati i contenuti originali, mentre verranno penalizzati post e profili che utilizzano contenuti presi da altri account (a meno che non siano stati rielabrati in maniera significativa):

Per esempio i meme sono salvi, perché anche se la foto o il video di base non sono stati creati da te, con l’inserimento di testi nella grafica il contenuto è considerato rielaborato 

Per approfondire quali saranno le possibili conseguenze del nuovo algoritmo di Instagram, trovi un reel dedicato all’argomento sul nostro profilo: @notjustanalytics 

Ci vediamo alla prossima novità. Peace!",103,5.64,126538,27093,1191,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/1142403DA16D8E96CF4EA84A3B649F98_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=111&vs=1773542583171554_2065650236&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8xMTQyNDAzREExNkQ4RTk2Q0Y0RUE4NEEzQjY0OUY5OF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dMT0xvUm9TeEhyU1NsTUZBUFNZUHJVLU9Fb3VicV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJpacutyq2oxAFQIoAkMzLBdAV%2BAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYAgGHoGByuqzNvKG4HwNLbFGTc0M3P6jtDcBYlDei0r6g&oe=6674B513&_nc_sid=1d576d,656,2024-05-30T19:12:37.000Z,22878,18.08,249,12993,37
E tu come usi Instagram?,29,13.55,126386,8494,227,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/E347A51493E2A4D61677DA25C5B52983_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=109&vs=860207265930891_3439176166&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9FMzQ3QTUxNDkzRTJBNEQ2MTY3N0RBMjVDNUI1Mjk4M192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dHTUdsUnFVZnlKWC02NEJBQm9EcmFNckVQTWticV9FQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJszW0eDpvOQ%2FFQIoAkMzLBdAJMzMzMzMzRgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYC2ylgKekBxlY3FA-Nbxd4tm0E16kHnLAKeDo23Q2ucOg&oe=6674D520&_nc_sid=1d576d,406,2024-05-27T14:47:28.000Z,7366,5.83,20,3720,55
"Se ti senti oppress@ dai social fermati un attimo

Ricordati che anche se il tuo profilo va male, il tuo successo come persona non si basa dal risultato che ottieni con i social, anche quando sono il tuo lavoro ❤️

Invia il post a qualcuno che dovrebbe ricordarselo",79,5.5,126335,12381,880,CAROUSEL_ALBUM,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/446110384_294382707086166_240476359412205540_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=18de74&_nc_ohc=1zrTchlxWfsQ7kNvgHasGRj&_nc_ht=scontent-fco2-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYDfjJNejbn0ZKCtslfuRf7KI6r-bye-i0QM9ez2n7-wkg&oe=6678D34B,109,2024-05-24T11:59:41.000Z,10682,8.46,63,8828,6
È un 4 ma poteva essere un 5,38,2.88,126231,29676,815,IMAGE,https://scontent-fco2-1.cdninstagram.com/v/t51.29350-15/445437000_852993910200198_473903019908687208_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=18de74&_nc_ohc=4EI6WFE4fuEQ7kNvgHKoF6i&_nc_ht=scontent-fco2-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AYAxl1XRy5bakzQguFwCqcP47Bw_bWBJVWhd8AUw9XsuPg&oe=6678CF3A,104,2024-05-22T17:10:19.000Z,27944,22.14,51,0,3
"COSA SIGNIFICANO GLI * NEL VIDEO?

Piccolo chiarimento su questo aspetto:

* Sia il vecchio che il nuovo algoritmo di Instagram decidono di mostrare i post a una fetta di pubblico più grande in base alle interazioni che ottengono dal primo gruppo di persone a cui vengono proposti.

⚠️ Ma attenzione: non basta che questi post ottengano molte interazioni.

Il fatto che Instagram consigli il contenuto ad un pubblico più ampio, dipende anche da altri due fattori:

🔻 La fase dell’algoritmo in cui ti trovi: se il tuo profilo è fase negativa dell’algoritmo, difficilmente Instagram consiglierà il tuo post ad un pubblico che non ti segue (vedi alcuni dei nostri vecchi reel per approfondire)

🔻 Lo stato del tuo account: su Instagram ci sono 5 livelli di stato dell’account, e più il tuo livello è alto, più probabilità hai che i tuoi contenuti vengano consigliati.

Cosa fa abbassare lo Stato dell’account? Tanti piccoli fattori, per esempio: ricevere segnalazioni, ban, rimozione di contenuti, violazioni di copyright ecc. 

Più azioni negative compi nel tempo, e più lo Stato del tuo account si abbassa. Più è basso e meno Instagram sarà propenso a mostrare i tuoi contenuti, anche se ricevono molte interazioni!

Bene, oltre a questo chiarimento rimane la domanda finale: che fine fa la community, con questo nuovo algoritmo? 

Nel video ti diamo la nostra opinione, ma facci sapere anche cosa ne pensi tu 👀",154,7.52,126152,77740,2570,REELS,https://scontent-fco2-1.cdninstagram.com/o1/v/t16/f1/m82/694C4AE00BB404BCB90DF8315D0135A9_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLmNsaXBzLnVua25vd24tQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSJ9&_nc_ht=scontent-fco2-1.cdninstagram.com&_nc_cat=101&vs=423398937290585_3356803788&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC82OTRDNEFFMDBCQjQwNEJDQjkwREY4MzE1RDAxMzVBOV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVAhg6cGFzc3Rocm91Z2hfZXZlcnN0b3JlL0dDX2hrUm9VTFpKZVRfUUNBS3QwNktlN3NONXRia1lMQUFBRhUCAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJpKDiMuO%2BpFAFQIoAkMzLBdAVgAAAAAAABgSZGFzaF9iYXNlbGluZV8xX3YxEQB1AAA%3D&ccb=9-4&oh=00_AYBq10_ShUIb179Q4woQT_7UbGLUvx1jNEIwwbkTe5Q_rA&oe=6674AAF7&_nc_sid=1d576d,838,2024-05-21T15:21:17.000Z,69649,55.21,699,35624,63